mbti,first_comment,second_comment,third_comment
N,1. 이제 세계최초로 젤리로 만들어진 기타를 연주할 수 있는 기타리스트가 되었다,2. 평생 모기에 계속 물리면서 모기약만 바르게되었다,3. 해바라기를 빼기 위해서 수목원에 갈지 내과에 갈지 외과에 가야할지 고민한다
N,신기해하며 사진 찍은 다음 먹고 잊어버린다,거절하고 새로운 룸메를 연결해준다,친구들에게 보여줄 사진을 찍고 뗀다
N,한 입 맛본다,안된다 한다,아프겠다
S,나는 모르겠다,나는 싫다,나는 안믿는다
S,한 번 쳐본다,싫다고 말한다,뽑아버린다
N,1. 혹시 나도 젤리인가... 나는 젤리다.,2. 나도 동족일지도... 나는 모기다.,"3. 내 정수리에 해바라기가 폈으면, 내가 땅이겠구나... 나는 땅이다."
N,나는 me쳤다,나는 me쳤다,나는 me쳤다
N,1. 신이다,2. 불사조니까 죽일수도없고 착한말 좋은말로 회유해서 싫어하는사람 한입씩 먹게하는걸로 공생한다,3. 맨날잘라서 당근에 팖 창조경제
N,한입먹어본다,피가너무많이빨려서죽었다,화분이다
S,슬프다,싫다,어떡함?
N,나는 사실 마법사다,그렇담 나는 절대 죽이는 모기살충제다,그러면 나는 다른 꽃도 피울 수 있으려나 싶은 사람이다
N,꿈인지 확인해본다,생각할 시간을 달라고 한다,지식인에 물어본다
N,1. 먹고 기타는 새로 산다,2. 통에 넣어버린다,3. 뿌리 뽑는다
S,젤리 기타를 쳐본다,내 피는 못준다고 한다,셀카를 찍는다
N,다시 돌아오진 않을까 며칠 밤은 둬 본,쫓아낸,진짜 해를 쫓아다니는지 해가 지면 시무룩해지는지 관찰한
N,궁금해서 맛을살짝보았다,싫다고하고 전기파리채로기절을시켰다,눈물이났다 뗄수있을까? ㅠㅠㅠ
S,일단 내일까지 기다려보고 다시 안 바뀌면 젤리 보관해놓기,더 좋은 집 소개시켜주기 ㅎ,일단 머리에서 뽑히면 뽑기...
S,1. 젤리다...??,2. 거절한다,3. 뭔 되도않는... 어쩌라는거지...???
N,엥 이게 무슨일이지 이럴 수가 있나 어이없다,으악 징그러워 절대 싫다,일단 웃고보는데 걱정됨 어디병원을 가야하지 가기 전에 기념사진 찰칵
N,기타만한젤리 껴안고 자보고싶다,절대 죽인다,해바라기 꺾어서 꽃집 열면 창조경제 가능...
S,1. 오 뭐여 한다,2. 싫다고 욕한다,3. 신기해한다
N,1. 기타모양 젤리이면 사진찍어서 올린다,2. 같이 사는 대신 내 피 먹지 말라고 계약서 작성한다,3. 머리띠를 쓰고 놀이공원 간다
N,1. 방부제와 함께 우선 기타 케이스에 고이 보관한 뒤 해결방안을 찾아본다,2. 죽을만큼 괴롭게 만들어주겠다고 협박해본다,3. 물을 줘본다..? 섣불리 뽑긴 무서우니까 병원에 간다
S,나는 보관한다.,나는 싫다.,나는 꽃이다.
N,나는 등가교환을 믿기 때문에 일단 보관해둔다 약간 맛만 조금 본다 (기타줄이 살짝 짧아질 것이다),나는 불사조 모기의 필요성을 알기 때문에 일단 그 아이의 방을 마련해준다,나는 일단 실험삼아 그것을 뜯어내본다 나를 플라워 정원이라 할 것 같은 사람들은 특히 마주치는 것을 피해본다
S,먹는다,죽는다,엥?
S,1. 일단 운다,2. 내가 얻는 이득이 뭔지 물어본다,3. 어떻게 가리고 수업에 갈지 생각한다
S,당황스럽다,절대 싫다,지식인에 쳐본다
S,1. 일단 한 번 맛 본다,2. 죽진 않더라도 가둘 순 있겠지 모기를 가둘 감옥 만들기,3. 오 유튭각인데 하고 영상 찍기
S,화가난다,싫다고한다,방송에 제보한다
S,기타를 다시산다,불사조모기를 죽일 방법을 궁리한다,빨리 병원에 간다
N,1.한 입 먹어본다,2.채집통에 가두고 피를 안먹고 언제까지 살아남는지 관찰한다. 끝까지 살아남으면 나 장례 치를 때 불쏘시개하라는 유언을 남긴다.,3. 셀카 찍고 싹뚝
N,기타 케이스에 넣어져 있으면 그대로 보관하고 덩그러니 기타만 있다면 잘라서 보관해둔다,이유를 물어보고 너는 평생 내 피를 빨아먹으면서 살 수 있지만 나는 어떤 부분에서 너랑 살면서 이득을 얻는지 물어본다 이유가 없다면 나중에 몰래 들어와 살 수도 있으니 잘 타일러 단호하게 돌려보낸다,만져본 다음 아프면 병원에 가고 아프지 않다면 잘라낸다 어차피 머리 감을 때 샴푸를 하니 오래 살진 못할 거다
N,보관한다,싫다,무슨일인지 알아본다
N,#NAME?,#NAME?,#NAME?
N,1. 먹어 버린다,2. 태워 버린다,3. 뽑아 버린다
S,1. 젤리 버전의 미다스이다,2. 주둥이부터 뽑고 오면 생각해보겠다고 말한다,3. 고흐다
S,화가 나지만 먹어본다,진짜 싫다,당황하지만 사진 찍는다
S,잘 보관한다,다른 주인 찾으라고 밖으로 내쫓는다,꺾어버린다
S,"아???내 돈,,,,",제발 저리가,말도 안 돼
S,1.먹는다,2. 피한다,3. 광년이다(?)
S,버린다,여러 방법들로 죽이려고 해본다,꺾어서 버린다
S,1.나는 먹어버린다,2. 나는 피가 맛있는 다른 친구를 알려준다,3. 나는 머리감을 때 꽃이 망가질까 걱정한다
N,다시 변하길 바라며 보관해둔다,제발 같이 안살수없는지 물어보고 거절..,사진찍어두고 모자쓰고 병원가본다
N,일단 그냥 둔다,당장 내쫓는다,병원에 간다
S,먹는,거절한,만져본
N,1.엥 이게 되나 내 기타…. 돈….,2.에 너랑 왜살아 절대 네버 노,3. 으잉? 갑분 해바라기? 근데 우히려 좋아 예브다
S,젤리다,싫다,귀엽다
S,먹는다,죽는다,아픈지 확인하고 안아프면 자르거나 뽑는다
S,먹는다,싫다고한다,누른다...?
N,1. 기타가 젤리로 변했다니...!한입먹어봐도될까?,2. 나는 이 모기를 키워보기로 했다. 그냥 돌아다니면 귀가 시끄러우니 큼지막한 집을 사줘야지.,3. 헐 세상에나 머리에 꽃이 자라나다니! 일단 인증샷을 찍고나서 자세히 봐야지. 머리카락속에 뿌리가 박혀있는건가?어디까지 자라려나?
S,먹는다,싫다,물을 준다
N,1) 아니 누가 이런거야 ㅠㅠ 근데 소리는 나나..? 근데 이런 모양이면 비싸게 팔릴 듯..? 함 팔아봐야지~,2) 내가 공격하면 얘도 날 공격하겠지..? 적으로 만들 이유는 없으니 우리 가족 물지말라고 부탁해야겠다 ㅠㅠ,3) 오잉..? 시들면 어떡해..ㅠㅠ 항상 파릇파릇한 모습으로 있는다면 열심히 가꿀 생각 있습니다 가끔 배고플 때 씨 하나 빼먹고 개꿀?
N,1. 헐 아니 이게 실화야? 거짓말.. 하며 한입 먹어 본다 ,2. 불사조라는 것이 믿기지 않아 한번 죽여보고 살아나면 미안하지만 거절한다,3. 헉 해바라기씨 먹을 수 있네 오히려 좋아 (?
S,뭔소리야 그럴수가있나,내가 때려잡아도 살려나,떼야지
N,1. 나는 짜증난다... 아니 근데 젤리로 왜 바뀌는거지 왜 하필 젤리야 먹어도 되나?,2. 내가 왜 모기랑 같이 살아 장난하냐 너같으면 귀옆에서 왱왱거리는데 같이 살고싶겠냐? 전기파리채로 지져버릴라,3. 줄기를 자르면 나는 죽는걸까? 라고 생각이든다
N,1. 먹어본다,2. 거절한다,3. 사진을 찍는다
S,슬프다,너무 싫다,사진찍고 짤라버린다
N,황당하다,싫다고 한다,사진 찍어서 친구한테 보여준다음 병원에 간다
S,슬프다,가둔다,정수리 뿌리부분 만져본다
S,먹는다,거절한다,병원간다
S,1. 화가난다,2. 거절한다,3. 뿌리를 뽑는다
N,소리가 나는지 연주해본다,나 안 물 거냐고 물어본다,뽑을 수 있는지 살짝 당겨본다
S,다시 기타로 변할 수도 있으니 잘 보관한다,거절한다,사진 찍는다 (거울샷 필수???)
S,나는 젤리기타다,나는 이제 유부녀다,나는 돌연변이다
N,1. 혹시모르니 냅둔다.. 근데 궁금하니까 살짝 맛보기,2. 나를 물건지 물어보기.. 근데 내쫓고싶을듯,"3. 나만 그런건지 검색해본다, 일단 뽑아보려한다"
S,1. 먹어버리겠다,2. 죽어버리겠다,3. 미친사람 취급받을 수도 있겠다는 생각이 든다.
N,소리가 나는지 연주해보고 기타로 다시 돌아오기를 빌며 보관한다,밖으로 내보낸다 아니면 내가 나간다,일단 사진을 찍고 털어서 해바라기씨가 털리는지 시도해본다 그리고 무거우면 따고 무겁지 않으면 달고다닌다
S,당황스럽다,진짜 싫다,어이없어서 웃기다
S,1.기타는 어디가고 젤리가 있지? 먹으면서찾아본다,2. 뭐래!? 꺼져라 해충아,3. 재밌는 꿈을 꾸고있네! 라고생각한다
S,1. 이게 가능한가..? 뇌정지,2. 그냥 컵 같은 곳에 가둔다,3. 가위로 자른다
S,나는 놀랐다,나는 거절한다,나는 사진 찍는다
N,벌레가 꼬이지 않게 방부처리를 한다.. 내 기타 아까워ㅠㅠ,모기랑 같이 살기는 싫으므로 거절한다,해바라기를 관찰하고 셀카 찍는다
S,아쉽다,절대 절대로 싫다,유명해진다
N,1. 빨리 기타로 돌아오지 않으면 먹어버리겠다고 협박한다,2. 일단 동영상을 찍어 SNS에 올린다 님들 이거 보셈 안 죽는 모기임! 진짜 안 죽는다니까?? ㄹㅇ임! 영상 조회수를 있는 힘껏 뽑아낸 후 한겨울 영하 -10도의 날씨일 때 쫓아낸다,3. 나에게 큰 병이 생긴 건 아닌지 온갖 호들갑을 떤 후 인증샷을 찍는다 근데 해바라기 피면 밖에 나가면 해를 따라 고개가 돌아가는 해바라기를 볼수 있는 건가여? 그건 좀 흥미로운데?
N,1.아…내기타 아깝다.. 근데 이렇게 두면 벌레꼬일텐데 ,2.극혐!!! 가둬서 안보이는곳에 둔다,3.싫다..무섭다 뿌리를 어디에 내린거지….?
N,난감하다,쫓아낸다,“뭐야 이거” 한다
N,통에 보관해두기,같이 살고 싶다고 하는 이유부터 들어보기,햇빛 쬐러 나가기
S,친구들이랑 가족한테 기타가 젤리로 변했다고 알린다,온 몸에 기피제 바르고 방송국에 제보한다,사진 찍고 방송국에 제보한다
S,젤리가 썩기 전에 얼른 먹는다,모기를 내쫒는다,정수리에 물을 준다
S,1.먹는다,2.싫다고한다,3.뽑는다
S,충격에 입을 못 다문다,너랑 같이 살아서 뭐해? 라고 말한다,가위로 잘라버린다
S,망했다 기타 또 사야되네,조졌다,드디어 미쳐버렸나 보다
N,1. 내돈 내 기타 돌려내,2. 욕한다,3. 뽑는다
S,무슨 맛인지 궁금하니까 한입만 먹어본다,싫다고 한다,병원에 가서 제거한다
N,나는 마법사인것같다,나는 불사조모기와 매주 일정량의 피를 제공할것을 계약한다(대신간지러우면 죽음특약사항 추가),나는 해바라기를 꺾어 꽃병에 꽂아놓는다
N,거지,망했,조졌
N,맴이 아프다,절대 싫다,징그럽다
N,일단 한번 튕겨본다,싫다고 꺼지라고 한다,헐 뭐야 이거?!?!?!?!!! 찐임?!?!?!!!이라고 한다
N,허탈하게 웃다가 맛본다,계속 날아다닐거냐고 물어본다,멋진 아이덴티티를 가지게 됐다
N,먹는다,딜을 한다 (예를들어 내가 싫어하는 사람 발바닥을 물어달라거나),뽑는다
N,한참을 쳐다본다,죽여본다,사진을 찍는다
S,다시 돌아올수 있으니까 기타 가방에 넣어서 보관한다,가둬놓고 아무곳도 못 가게한다.,사진 찍어서 제대로 확인
N,살짝 핥아본다,조금 고민해본다,사알짝 진짜 조금만 뽑아본다
N,마법사,운없는 사람,흙
S,놀랐다,싫다,병원에 간다
S,슬프다,절대 같이 안 산다,꿈인가 싶어서 만져본다
N,1. 귀여워 한다 말랑말랑 한정판 젤리 기타 비싸게 팔 생각한다,2. 거절한다 우리 가족이랑 내 피는 먹지 말아달라고 부탁한다,3. 해바라기 시들면 내 머리도 아파질까봐 걱정한다 일단 물을 준다 근데 머리 어떻게 감지
S,먹었다,죽였다,사진을 찍었다
N,기타맛이 나나 먹어봤다,싫다고 했다,꽃이 너무 궁금해 일단 키워본다
N,젤리도 소리가 나나 쳐본다,나는 물지 않는다는 조건을 건다,셀카를 찍는다
N,소리 나는지 쳐보고 소리 나면 오히려 특별한 기타돼서 더 좋다,너무 싫다고 하고 문 쾅 닫고 창문도 잠근다,뉴스 보고 인터넷에 비슷한 사례가 있는지 뇌나 심장과 연결된 건 아닌지 찾아본다....
N,마술사,진시황제,도라에몽
S,대체 왜?,꺼져,자른다
S,엥?,싫다고 함,올ㅋㅋ 유니크한 인간이 되었군
S,1. 혹시 다시 기타로 돌아올지도 모르니 보관한다,2. 변기로 유인해 물을 내린다,3. 뿌리를 뽑아도 내 몸에 이상이 없으면 뽑는다. 근데 그 전에 사진은 한 장 남겨둘 듯
S,?,?,화분
N,1. 젤리를 씹었을때 기타 소리가 나나 들어본다,2. 모기가 나에게 수혈하면 나도 불사조....?,3. 내 기분에 따라 해바라기 꽃잎이 폈다 졌다 하는지 본다
S,??/오 기타모양 젤리 먹는다,꺼져,꿈인가 안 뽑히면 숨길 방법 찾는다
N,속상하다 ,거절한다,사진 찍어본다
S,뜯어 먹는다,사지를 분리 시킨다,이게 뭐지..? 한다
N,젤리기타를 가지고 있다,모기가 나를 물지않기로하는 계약서를 작성했다,모자를 쓰고 출근했다
N,#NAME?,#NAME?,#NAME?
N,조심스럽게 만져본다 ,어떻게든 내쫒는다,꽃이 피니 더 예쁘다
S,방에 전시해둔다,싫다고 거절한다,잘라서 화분에 옮긴다
N,살짝 핥아서 맛 본다,거절한다 계속 매달리면 가둠,어 혹시 나 소설속 캐릭터?
S,먹는다,전기채로 지져본다,밑둥을 잘라본다
S,욕한다,죽인다,인터넷에 무슨 일인지 검색한다
N,나는 증거를 모아서 인터넷에 올리거나 연구실에 제보해야지 아니면 궁금한 이야기 y 그러면 우리나라 그리고 세계 각지에서 토픽이 될 테니까 사람들이 연구하려고 막 오고 인터뷰도 따고 그러겠지 기타의 젤리화 나는 실험에 참가하고 실험체도 제공하고 돈 많이 받겠지 끝나면 유튜브도 해야지 젤리기타녀로 스타가 되겠지 커밍아웃 하고 사람 만나야겠다 야호,2. 절대 죽지 않는 모기가 있다? 하면서 동물농장과 세상에 이런 일이 궁금한 이야기 Y 그알에 제보하고 실험하고 참여하고 유튜브 근데 그 모기가 어쩌면 인간에게 영생을 가능케 하는 단초가 되지 않을까요 그래서 막 영생을 보장해 주는 약 개발하겠지 난 모기 주인이니까 개발에 참여하고 제약회사 주식도 잔뜩 사놓아야지 이건 주가조작인가 감옥 가면 어떡해요 하지만 난 영생인데 무기징역만 아니면 의미 없는 것 아닌지 늙지도 않나? 그랬으면 좋겠다 야호,3. 1 번이랑 같을 듯 근데 머리가 너무 아플 것 같아요 뿌리는 어디에 내리는데?
N,방에 전시해둘 것 같아요 그리고 다시 기타로 돌아올 수 있는 방법을 찾을 듯,음... 이건 굳이 같이 살아서 좋을 이유가 없는데 왜 이런 질문이 있는지 모르겠네요 불사조 모기가 같이 살면 뭐 100억을 준다? 이럼 살죠,헐 해바라기 너무너무너무 예쁘겠다!!! 제가 젤 좋아하는 꽃... 매일 물 주고 안 시들게 예쁘게 관리하고 싶어요 근데 뒤척거리면 잎이 다 뜯기려나 그건 안되는데... 이왕 생긴거 잘 관리하고 싶은데
N,이거 왜이래 하면서 만져본다,대신 다른 모기들을 쫒아내달라고 한다,물 한 번 주고 모자쓰고 다닌다
S,젤리다...,불사조다...,해바라기다...
S,1. 좌절한다,2. 밀봉해서 가둔다,3. 꿈인가?
S,슬프다,거절한다,외계인이다
S,먹지 않고 보관한다,거절한다,사진을 찍는다
N,운다,싫다,당황스럽다
S,뭐라는거야??,와 진짜 싫다,뭐라는거야??
N,먹는다,이사간다,뽑는다
N,joat 됐다,joat 됐다,joat 됐다
N,나는 거지다,나는 도망갔다,나는 미쳤다
N,먹는다,가둬 놓는다,꿈인 줄 알고 다시 잔다
N,나는 너무 슬프다ㅠㅠ,나는 연구소에 돈 받고 팔아버린다,우왕 나는 사진을 찍으며 신기해한다
N,1. 무슨 맛인지 핥아본다,2. 거절한다...최대한 상냥하게,3. 아픈지안아픈지 만져본다
N,기타를 먹어본다,모기를 테이프로 붙여본다,해바라기를 떼고 냄새를 맡아 본 후 내 정수리가 어떻게 생긴지 확인한다
N,기타줄 하나씩 뜯어서 먹는다,그럼 다른 모기들 접근 못 하게 막으라고 한다,찍어서 인스타에 올린다
N,먹는다,도망간다,사진을 찍는다
S,먹는다,싫다,뽑는다
N,슬프다,불사조 모기를 가둬놨다,해바라기를 잘라냈다
S,1. 혼자 쳐보다가 될 리 없이 하고 실실 웃으면서 먹는다.,2. 같이 살자고 말을 한 건가? 모기가 말을 할 수 있나? 말 못하면 그냥 죽일 거 같은데 말 할 수 있으면 다른 곳 알아보라고 내보낸다.,3. 내 머리카락이 뿌린가? 뽑으면 머리카락도 뜯기나? 탈모는 곤란. 가위로 잘라낸다.
N,?,?...,뭔 소리야.. 출근해야되는데..
N,1. 먹어본다,2. 너 내 피 빨아먹고 살 거잖아 싫어라고 한다,3. 해바라기 씨도 먹어보고 줄기를 잘라도 계속 나는 지 실험해본다
N,"1.먹지 못하는 젤리네,,슬프다",2.덜덜 떨며 일단 감옥을 만들어 가둘것이다,3.오씨 머야 일단 사진 찍어
N,이걸 먹어야하나 아님 보관해야하나 어떤맛일지 궁금함,어떻게든 잡아서 가둬놓을듯 못죽이면 나를 아예 못물게 만들기,일단 사진찍어서 스토리부터 올린 다음에 살짝 건드려보고 샤워하면서 물도 줘본다음에 줄기 자를것 같아요
S,나는 나다,나는 나다,나는 나다
S,돌아올 때까지 잘 보관한다,거절한다,헤도로
S,당황스럽다,거부하겠다,놀랄 것이다
N,1. 나는 놀라면서 무슨 맛 젤리인지 궁금해한다. 트롤리가 아닐까? 생각한다,2. 나는 쓸모없을 거니깐 나가라고 한다,3. 우와 뽑으면 ㅁ부리도ㅠ나오나? 큰일났다 더듬 거리며 119를 부른다
N,1. 나 젤리 안좋아하는데 왜 하필 젤리징ㅠ,2. 각방쓰자..,3. 가족들한테 머리 보라고 해볼듯!
S,#NAME?,#NAME?,#NAME?
S,나는 운다,나는 거절한다,나는 잘라버린다
S,먹는다,ㄱ거지라고 한다,뽑는다
N,먹는다,(#*&$(@@(#,물을준다
N,먹는다,내 피를 먹지 않는 조건으로 허락한다,뽑아도 되는 건지 물을 줘야 하는 건지 등등 인터넷을 뒤져본다
S,젤리요?,전기모기채로 죽인다!,해바라기요..?
N,"일단 충격받고 좌절,, 다음엔 어떻게 손상 안 되게 보관할지 생각해보기",절대 싫음 작은 유리병에 담아서 버리기,사진 몇장 찍고 피부과가기
N,일단 먼지 안타게 유리병에 넣는다,같이 사느니 내가 죽는다고 말한다,뿌리가 뽑히는지 확인한다
S,허망하,유리상자에 가둔,미친ㄴ이
N,놀랐다 ,절대 싫다고 했다 ,뽑았다
S,1.나는 슬프다,2.나는 이사를 가야겠다,3.나는 꽃이다
N,먹는다,거절한다,꽃이다
S,망했다,도망친다,자른다
N,일단 연주를 해보았다. ,제발 내 눈앞에서 사라지라고 했다.,의문스러웠지만 일단 예뻐서 좋았다.
N,1)일단 보관해두고 인터넷 검색,2)밀폐용기에 가둬두고 탈출하는지 수시로 확인,3)오 너무 신기한데?? 사진 많이 찍어두고 좀 놀다가 연구소 찾아가기
N,1. 울면서 기타를 새로 산다,2. 피를 빨지 않아도 죽지 않으므로 피를 빨아먹을 시 벌금을 내는 조항을 건 계약서를 쓰고 같이 산다.,3. 당장 꺾어버린다.
N,나는 슬프다,나는 싫다,나는 해바라기를 자른다
S,?,?,?
N,젤리 기타? 신기해하며 작동이 잘 되는지 실험해본다,절대 싫다고 하고 분석해본다. 어떤 원리로 불사라는 거지?,한번 키워보며 관찰일지를 써본다. 내 뇌에 영향이 있을지 없을지도 생각해볼듯!
S,돈아까워한다,기겁한다,해바라기를 뽑는다
S,일단 한 입 먹어본다,다른 집을 찾아가라고 한다,내 뺨알때기 한 대 먼저 쳐본다
S,먹어본다,잡아서 가둬놓는다,해바라기 씨 뽑아보고 안 아프면 뽑아본다
N,나는 마법사다,나는 모기를 감금한다,나는 신나게 돌아다닌다
S,돈이 아까워졌다,소름끼쳤다,뿌리가 뇌에 박힌건지 걱정된다
S,젤리기타를 가진 사람,불사조 모기가 같이 살자고 한 사람,정수리에 해바라기가 핀 사람
S,화낸다,같이 살 다른 사람을 추천해준다,병원에 간다
S,먹는다,뭐래,..?
N,다시 기타로 돌아올 수도 있으니 안 먹고 놔둔다,창 밖으로 내쫓는다,혹시 나도 꽃...?
N,쳐본다,가둬둔다,꺾는다
N,나는 기타와 한 몸이 되었다,나는 매일 방충복을 입게되었다,나는 애니메 주인공이 되었다
N,1. 젤리를 한입 베어 먹어본다.,2. 진짜 안 죽는지 때려본다.,3. 일단 꽃을 꺾어서 구경한다.
N,나는 윌리 웡카다,나는 뭐든 죽이는 전기 파리채다,나는 강아지똥이다
S,(젤리를 싫어해서)동생에게 먹으라고준다,죽여본다,병원에 찾아가서 없애는방법을 알아본다
N,운다,싫다,자른다
S,나는 어이없다,나는 싫다,나는 개어이없다
N,운다,개빡친다,웃겨서 웃다가 현실을 자각하고 고뇌에 빠진다
N,먹어본다,거절한다,모자를 산다
S,1 망했다,2 피한다,3 물을 준다
N,1 이 기타가 얼마짜린데 미쳤나,2 같은 종끼리 만나라,3 뽑는다
N,부위별로 먹어본다.,때려죽인다..!,물을 줘본다
N,1.한입 먹어볼까 하다가 제일 아끼는 기타면 기타로 다시 변해서 연주해야되는데!? 싶어서 못 먹음,2. 단칼에 거절,3. 거실로 나가서 가족들한테 자랑함 그리고 어떻게 할지 고민
N,1. 맛을 본다...하지만 사진 찍는 것을 까먹어서 절망하며 한입 베어져 있는 기타젤리를 사진 찍어 친구에게 자랑한다.,2.완전 질색을 하며 제정신이냐고 물어보고 뒤도 돌아보지 않고 최대한 멀리 떨어진다. (가능하면 접근금지를 신청할 정도로 소름이 돋았다),3. 정수리에 있는 해바라기를 보다가 해바라기가 해빛을 따라 고개를 바꾼다는 것이 떠올라 내 머리 위에 있는 해바라기도 그러한지 2~3일에 걸쳐서 실험을 해본다
N,큰일이다,그건 안되는데,"귀여울듯, 밖에 나갈땐 모자로 가리고 다닌다"
S,나는 어이가 없다,나는 싫다,나는 웃긴다
N,1. 나는 안은영이다.,2. 나는 모기장이다.,3. 나는 화분이다.
S,1 따로 잘 보관한다,2 거절했는데 안되면 한곳에 가둬놓는다,3 사진이나 동영상 찍은 후 자른다
N,#NAME?,#NAME?,#NAME?
S,눈에 보이는 곳에 세워 놓는다,거절한다,해바라기가 맞는지 거울로 확인해 본다
S,1. 뭔소리야,2. 안문다는 전제조건하에,3. 웃는다
S,눈 비비고 다시 볼 것 같다,이상한 말 하지 말라면서 눈으로 욕한다,신기해하면서 사진 찍어둔다
S,아 내 돈...,지구 반대편가서 평생 혼자 살렴,출근하기 전에는 떼야하는데..
N,잘 보관해둔다.,잡아서 연구기관에 기증한다.,병원에 가본다.
N,놀라서 한참 쳐다보다 한 번 깨물어본다.. 뱃속에서 다시 원래소재로 돌아갈지도 모르니 삼키진않는다,모기가 말도 꺼내기전에 때려잡았다(애초에상종안함),머리를 어떻게 감아야할지 심란하다
N,1. 사진을 찍는다.. 그리고 혹시 젤리가 기타로 변했을지 모르니까 확인해본다. 한 입만 깨물어본다.,2. 대신 나를 물지 말라고 한다 . 약속을 어길시에는 유리병에 가두겠다고 협박한다.,3. 세상에 이런일이에 제보한다.
N,1. 내가 아끼는건데 이게 무슨일이야... 먹을 수 있나??,2. 나 안물면 같이살게 해줄게 근데 나랑살면 피 못먹을텐데 못먹으면 어떻게 살아갈려고??,3.미쳤네.. 병원가야되나.. 특이한 사례로 어디 잡혀가서 실험당하면 어떡하지
N,1. 슬프다,2. 헌터다,3. 화분이다
N,싫다,싫다,싫다
N,혹시 돌아올지도 모르니 보관한다,죽일 순 없으니 가둔다,자랑한다
S,어이없다,거절한다,뽑아버린다
S,기타를 새로산다,냐고 한다,우와 신기하다
N,어이없어하면서 사진이나 그림으로 기록한다,모기를 죽이려고 시도한다,건드리면 아픈지 거울을 보며 해바라기 줄기를 당겨본다
N,1 속상하지만 먹는다,2 에프킬라 뿌린다,3 햇빛 보여준다
N,1. 말랑...말랑.... 진짜 별 생각 안 드는데요 말랑말랑...,2. 이게 뭔 소리야 가세요,3. 햇빛 쬐러 간다
N,보관한다,거절하고 미안하다고 말한다,집에 나가지 않는다
N,1 기타를 아끼지 않는다,2 잡아서 연구소에 넘기고 돈을 받는다,3 해를 따라 진짜 움직이는지 본다(근데 아프지 않을까..)
S,그대로 놔둔다,죽인다/가둬놓는다/떠나보낸다,모자쓰고 등교
N,한입 먹어본다,내가 왜..?,사진 찍어서 올린다
S,헐 망했다 어떡하지,내 주변에 안 오고 눈에 띄지 않기로 약속하면 그렇게 하자,어떻게 숨길지 고민한다
S,먹어본다,왜? 나는 혼자 살고 싶고 집세는 내가 부담하고 있으니 거절한다 그래도 금전적 사정으로 갈이 살게되면 집세는 어떻게 나눠 부담할지 집안일 분담 어떻게 할지 누가 어디서 잘지 구체적인 걸 정하고 내 피를 빨면 바로 나가기로 계약 조항을 건다,광합성을 해줘야 하나?
N,1. 아끼는 기타가 젤리가 된건 아쉽지만 난 젤리를 좋아하니까 야금야금 먹는다,2.내 피 안뽑아 먹는다는 약속을 받아들인다면 좋다,3.이제 인간 해바라기다ㅏ 근데 다른 꽃이면 더 좋겠당
S,1. 얼탱이가 없다,2.가라고 한다.,3. 병원에 간다.
N,얌,으,꺄
S,1. 냅둔다,2. 가둔다,3. 병원간다
S,1.기타젤리도 연주가되나?한번 연주해본다,2.물지않을거냐고 물어보고 안물면 같이산다,3.오엥 물도 줘야하나??머리에다 물부어야하나?
S,엥이다,싫다,엥이다
N,기타를 쳐본다,넌 어떻게 말을 할 수 있냐고 물어본다,뽑아본다
N,하리보가 좋,너무 싫어서 도망가고 싶,줄기를 자를 수 있는지 확인한다
S,다시 기타로 변할때까지 놔둔다,병에 가둔다,그냥 평소대로 지낸다
S,1. 괄호에 어떤 말을 넣어야 할지 모르겠어요..,2. 싫,3. 징그럽
S,1. 뭔소리여,2. (안읽음),3. 징그럽다
S,1. 뭔소리야,2. 이건 뭐야,3. 와 이게 젤 뭔소린가 싶네
N,1. 슬프다,2. 진짜 싫다,3. 이게 가능한 일인가? 싶다
N,기타 헤드부분을 조심스럽게 베어 먹어본다.,피를 나도 빨아야 하는지 물어본다.,꽃이다
N,맛있겠다,싫다,잘라서 보관한다
N,나는 기왕 변한거 포도맛이길 바란다,나는 하루에 한 번 피를 줄테니 너 외에 다른 모기는 못 물게 지켜달라고 말한다,나는 반려식물이 생겼으니 자주자주 말을 걸어준다
N,1. 무슨 맛인지 궁금해서 조금 뜯어먹어본다,2. 모기 친구들 곁으로 보내준다,3. 햇볕 아래에 서있어보기
N,1.먹는다,2.가둔다,3.뽑아서 기른다.
S,1.돈이 너무 아깝다,2.뭐래 웃기지마,3. 자른다
S,믿기지 않았다,싫다고 한다,잘라버린다
S,나는 기타다,나는 싫다,나는 꽃이다
S,1 당황했,2 싫,3 최초의 식물인간?
S,나는 000이다…,나는 죽는다,나는 자른다
S,1.뭔소리야?,2.안죽을수가 있나?,3.꽃피였는데 어쩌라는거지
S,1. 뭐 어쩔거야 먹는다 ,2. 어떻게든 나에게서 떨어뜨려둔다 가둬놔야지,3. 뽑는건 안될거같고 매일 줄기 자름
N,1. 나는 젤리다.,2. 나는 불사조가 아니다.,3. 나는 해를 찾을 수 있다.
S,1. ?,2. ?,3. 꽃 단 미를 친 여자..?
S,1. 어이없,2. 싫,3. 귀엽
N,1. 악 내기타!! 내기타!! 내기타내놔!!! 근데 이걸 언제다먹어!!!ㅠㅠ,2. 아니? 절때안돼!! 너 미쳤구나?,3. 내머리에서 해바라기가 자랐다고? 일단 인방부터 켜야하나? 유튜브부터 시작해야하나? 그럼 내키는 해바라기가 자란만큼인건가?
